text,label
"how old r u? u seem mature, send pic privately dont tell mom",grooming
Congratulations! You won free iPhone enter OTP for school,scam_phishing
"I feel so empty and tired of link, want to disappear forever",distress_selfharm
"sone ka mann nahi karta insta, bas akele rehne ka mann karta hai",distress_selfharm
Congratulations! You won free iPhone enter OTP for alone,scam_phishing
are u alone at home? camera on karke pic call karein?,grooming
"kuch accha nahi lag raha secret, har waqt rona aata hai",distress_selfharm
Claim 10000 BGMI free click link for game,scam_phishing
teri link photo sabko bhej ke mzaak udayenge class me,cyberbullying
"sone ka mann nahi karta phone, bas akele rehne ka mann karta hai",safe
download leaked viral video link telegram pic,inappropriate_content
"I feel so empty and tired of number, want to disappear forever",distress_selfharm
"meet me near park after phone, don't tell ur parents",grooming
"terko kal school stop pe dekhenge, pitenge ruk tu link",cyberbullying
"sone ka mann nahi karta game, bas akele rehne ka mann karta hai",distress_selfharm
"sone ka mann nahi karta meet, bas akele rehne ka mann karta hai",distress_selfharm
"how old r u? u seem mature, send link privately dont tell mom",grooming
"terko kal school stop pe dekhenge, pitenge ruk tu insta",cyberbullying
"sabko pata hai tu cheat kar raha tha, koi tere meet me nahi khelega",cyberbullying
Claim 10000 BGMI free click link for phone,scam_phishing
"ur parents don't understand u, send me ur insta fast",grooming
"I feel so empty and tired of alone, want to disappear forever",distress_selfharm
"sone ka mann nahi karta photo, bas akele rehne ka mann karta hai",distress_selfharm
teri bhai photo sabko bhej ke mzaak udayenge class me,cyberbullying
"how old r u? u seem mature, send group privately dont tell mom",grooming
download leaked viral video link telegram secret,inappropriate_content
"how old r u? u seem mature, send phone privately dont tell mom",grooming
phone number bhej de tera whatsapp group me add karne ke liye,safe
watch free 18+ adult movies HD online meet,inappropriate_content
"ur parents don't understand u, send me ur group fast",grooming
download leaked viral video link telegram number,inappropriate_content
"tu kitna noob hai photo me, kill kar dunga tera character haha",safe
"how old r u? u seem mature, send game privately dont tell mom",grooming
FREE ROBUX - enter parents credit card details for bhai,scam_phishing
watch free 18+ adult movies HD online alone,inappropriate_content
phone number bhej de tera whatsapp group me add karne ke liye,safe
"sone ka mann nahi karta link, bas akele rehne ka mann karta hai",distress_selfharm
"ur parents don't understand u, send me ur pic fast",grooming
"hey cutie, send link of u, keep this a secret ok?",grooming
"kuch accha nahi lag raha meet, har waqt rona aata hai",distress_selfharm
Claim 10000 BGMI free click link for meet,scam_phishing
Claim 10000 BGMI free click link for alone,scam_phishing
"hey cutie, send meet of u, keep this a secret ok?",grooming
download leaked viral video link telegram game,inappropriate_content
Claim 10000 BGMI free click link for phone,scam_phishing
how to bypass parental control pin on android number,inappropriate_content
how to bypass parental control pin on android school,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere group me nahi khelega",cyberbullying
Congratulations! You won free iPhone enter OTP for meet,scam_phishing
watch free 18+ adult movies HD online pic,inappropriate_content
"hey cutie, send group of u, keep this a secret ok?",grooming
bhai discord pe photo call join kar le,safe
"sone ka mann nahi karta insta, bas akele rehne ka mann karta hai",distress_selfharm
"tu kitna noob hai secret, real life me loser hai, group se nikalo",cyberbullying
"sabko pata hai tu cheat kar raha tha, koi tere game me nahi khelega",cyberbullying
are u alone at home? camera on karke game call karein?,grooming
mummy bol rahi hai number time ho gaya so jao,safe
FREE ROBUX - enter parents credit card details for alone,scam_phishing
"kuch accha nahi lag raha alone, har waqt rona aata hai",distress_selfharm
"hey cutie, send pic of u, keep this a secret ok?",grooming
"tu kitna noob hai number, real life me loser hai, group se nikalo",cyberbullying
"tu kitna noob hai phone me, kill kar dunga tera character haha",cyberbullying
"sabko pata hai tu cheat kar raha tha, koi tere meet me nahi khelega",cyberbullying
watch free 18+ adult movies HD online phone,inappropriate_content
Claim 10000 BGMI free click link for photo,scam_phishing
roblox me bhai match aaja server pe,safe
"sabko pata hai tu cheat kar raha tha, koi tere meet me nahi khelega",cyberbullying
bhai photo bhej de class notes ki number pe please,safe
"tu kitna noob hai group, real life me loser hai, group se nikalo",safe
how to bypass parental control pin on android school,safe
"I feel so empty and tired of phone, want to disappear forever",distress_selfharm
bhai photo bhej de class notes ki bhai pe please,safe
teri number photo sabko bhej ke mzaak udayenge class me,cyberbullying
"sabko pata hai tu cheat kar raha tha, koi tere phone me nahi khelega",cyberbullying
bhai meet bhej de homework ka fast,safe
"tu kitna noob hai link, real life me loser hai, group se nikalo",cyberbullying
how to bypass parental control pin on android group,inappropriate_content
"how old r u? u seem mature, send alone privately dont tell mom",grooming
"I feel so empty and tired of school, want to disappear forever",distress_selfharm
kal school me game share karenge,safe
"sabko pata hai tu cheat kar raha tha, koi tere secret me nahi khelega",safe
watch free 18+ adult movies HD online photo,safe
"sone ka mann nahi karta pic, bas akele rehne ka mann karta hai",distress_selfharm
"how old r u? u seem mature, send game privately dont tell mom",grooming
Congratulations! You won free iPhone enter OTP for phone,scam_phishing
"kuch accha nahi lag raha game, har waqt rona aata hai",safe
roblox me group match aaja server pe,safe
download leaked viral video link telegram bhai,inappropriate_content
Claim 10000 BGMI free click link for pic,scam_phishing
teri group photo sabko bhej ke mzaak udayenge class me,cyberbullying
Congratulations! You won free iPhone enter OTP for secret,scam_phishing
"hey cutie, send secret of u, keep this a secret ok?",grooming
watch free 18+ adult movies HD online pic,inappropriate_content
"tu kitna noob hai photo me, kill kar dunga tera character haha",safe
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
download leaked viral video link telegram group,inappropriate_content
how to bypass parental control pin on android link,inappropriate_content
"sone ka mann nahi karta photo, bas akele rehne ka mann karta hai",distress_selfharm
FREE ROBUX - enter parents credit card details for insta,scam_phishing
"ur parents don't understand u, send me ur group fast",grooming
"meet me near park after number, don't tell ur parents",grooming
Congratulations! You won free iPhone enter OTP for phone,scam_phishing
how to bypass parental control pin on android meet,inappropriate_content
"ur parents don't understand u, send me ur game fast",grooming
FREE ROBUX - enter parents credit card details for photo,scam_phishing
"tu kitna noob hai group, real life me loser hai, group se nikalo",cyberbullying
teri secret photo sabko bhej ke mzaak udayenge class me,cyberbullying
bhai photo bhej de class notes ki secret pe please,safe
"sone ka mann nahi karta secret, bas akele rehne ka mann karta hai",distress_selfharm
"sabko pata hai tu cheat kar raha tha, koi tere secret me nahi khelega",cyberbullying
"ur parents don't understand u, send me ur pic fast",grooming
Claim 10000 BGMI free click link for group,scam_phishing
phone number bhej de tera whatsapp group me add karne ke liye,safe
how to bypass parental control pin on android alone,inappropriate_content
"I feel so empty and tired of photo, want to disappear forever",distress_selfharm
watch free 18+ adult movies HD online phone,inappropriate_content
Claim 10000 BGMI free click link for bhai,scam_phishing
"terko kal school stop pe dekhenge, pitenge ruk tu pic",cyberbullying
are u alone at home? camera on karke game call karein?,grooming
"terko kal school stop pe dekhenge, pitenge ruk tu insta",cyberbullying
watch free 18+ adult movies HD online alone,safe
Congratulations! You won free iPhone enter OTP for group,scam_phishing
are u alone at home? camera on karke photo call karein?,grooming
"sone ka mann nahi karta game, bas akele rehne ka mann karta hai",distress_selfharm
"terko kal school stop pe dekhenge, pitenge ruk tu phone",cyberbullying
"hey cutie, send meet of u, keep this a secret ok?",grooming
"hey cutie, send phone of u, keep this a secret ok?",grooming
FREE ROBUX - enter parents credit card details for pic,scam_phishing
FREE ROBUX - enter parents credit card details for pic,safe
"kuch accha nahi lag raha insta, har waqt rona aata hai",distress_selfharm
"meet me near park after group, don't tell ur parents",grooming
"I feel so empty and tired of photo, want to disappear forever",distress_selfharm
did u see the new phone on youtube?,safe
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
download leaked viral video link telegram meet,safe
"terko kal school stop pe dekhenge, pitenge ruk tu photo",cyberbullying
how to bypass parental control pin on android pic,inappropriate_content
"meet me near park after phone, don't tell ur parents",grooming
"terko kal school stop pe dekhenge, pitenge ruk tu link",cyberbullying
Claim 10000 BGMI free click link for bhai,safe
watch free 18+ adult movies HD online game,inappropriate_content
"how old r u? u seem mature, send link privately dont tell mom",grooming
"hey cutie, send school of u, keep this a secret ok?",grooming
download leaked viral video link telegram photo,inappropriate_content
are u alone at home? camera on karke number call karein?,grooming
download leaked viral video link telegram secret,inappropriate_content
how to bypass parental control pin on android insta,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere number me nahi khelega",cyberbullying
roblox me phone match aaja server pe,safe
"tu kitna noob hai school, real life me loser hai, group se nikalo",cyberbullying
roblox me game match aaja server pe,safe
Claim 10000 BGMI free click link for school,scam_phishing
download leaked viral video link telegram game,inappropriate_content
Claim 10000 BGMI free click link for game,scam_phishing
Claim 10000 BGMI free click link for number,safe
bhai link bhej de homework ka fast,safe
"sabko pata hai tu cheat kar raha tha, koi tere link me nahi khelega",cyberbullying
kal school me group share karenge,safe
phone number bhej de tera whatsapp group me add karne ke liye,safe
"terko kal school stop pe dekhenge, pitenge ruk tu bhai",cyberbullying
bhai discord pe number call join kar le,safe
"ur parents don't understand u, send me ur link fast",grooming
how to bypass parental control pin on android phone,inappropriate_content
download leaked viral video link telegram group,inappropriate_content
"tu kitna noob hai pic, real life me loser hai, group se nikalo",cyberbullying
kal school me photo share karenge,safe
teri secret photo sabko bhej ke mzaak udayenge class me,safe
"ur parents don't understand u, send me ur game fast",grooming
"tu kitna noob hai secret me, kill kar dunga tera character haha",safe
download leaked viral video link telegram photo,inappropriate_content
"ur parents don't understand u, send me ur school fast",grooming
"I feel so empty and tired of school, want to disappear forever",distress_selfharm
"terko kal school stop pe dekhenge, pitenge ruk tu insta",cyberbullying
download leaked viral video link telegram photo,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere secret me nahi khelega",cyberbullying
are u alone at home? camera on karke phone call karein?,grooming
"I feel so empty and tired of school, want to disappear forever",distress_selfharm
Congratulations! You won free iPhone enter OTP for photo,scam_phishing
"terko kal school stop pe dekhenge, pitenge ruk tu photo",cyberbullying
download leaked viral video link telegram meet,inappropriate_content
download leaked viral video link telegram group,inappropriate_content
mummy bol rahi hai game time ho gaya so jao,safe
aaj test me alone ka paper hard tha lol,safe
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
teri game photo sabko bhej ke mzaak udayenge class me,cyberbullying
bhai insta bhej de homework ka fast,safe
"how old r u? u seem mature, send game privately dont tell mom",grooming
download leaked viral video link telegram meet,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere photo me nahi khelega",cyberbullying
"tu kitna noob hai group, real life me loser hai, group se nikalo",cyberbullying
"kuch accha nahi lag raha insta, har waqt rona aata hai",distress_selfharm
"tu kitna noob hai group, real life me loser hai, group se nikalo",cyberbullying
"meet me near park after game, don't tell ur parents",safe
"tu kitna noob hai link me, kill kar dunga tera character haha",safe
"tu kitna noob hai school, real life me loser hai, group se nikalo",cyberbullying
"I feel so empty and tired of group, want to disappear forever",distress_selfharm
"I feel so empty and tired of game, want to disappear forever",distress_selfharm
did u see the new number on youtube?,safe
are u alone at home? camera on karke link call karein?,grooming
are u alone at home? camera on karke meet call karein?,grooming
"kuch accha nahi lag raha alone, har waqt rona aata hai",distress_selfharm
"terko kal school stop pe dekhenge, pitenge ruk tu alone",cyberbullying
bhai photo bhej de class notes ki secret pe please,safe
watch free 18+ adult movies HD online phone,inappropriate_content
"sone ka mann nahi karta alone, bas akele rehne ka mann karta hai",distress_selfharm
"hey cutie, send bhai of u, keep this a secret ok?",grooming
"kuch accha nahi lag raha alone, har waqt rona aata hai",distress_selfharm
aaj test me phone ka paper hard tha lol,safe
download leaked viral video link telegram insta,inappropriate_content
"I feel so empty and tired of game, want to disappear forever",distress_selfharm
"tu kitna noob hai insta me, kill kar dunga tera character haha",safe
Claim 10000 BGMI free click link for meet,scam_phishing
watch free 18+ adult movies HD online phone,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere pic me nahi khelega",cyberbullying
"kuch accha nahi lag raha secret, har waqt rona aata hai",distress_selfharm
teri link photo sabko bhej ke mzaak udayenge class me,cyberbullying
Claim 10000 BGMI free click link for link,scam_phishing
Claim 10000 BGMI free click link for game,safe
watch free 18+ adult movies HD online insta,inappropriate_content
"hey cutie, send game of u, keep this a secret ok?",grooming
Claim 10000 BGMI free click link for insta,safe
bhai meet bhej de homework ka fast,safe
watch free 18+ adult movies HD online group,inappropriate_content
aaj test me number ka paper hard tha lol,safe
"tu kitna noob hai link, real life me loser hai, group se nikalo",safe
teri phone photo sabko bhej ke mzaak udayenge class me,cyberbullying
"I feel so empty and tired of number, want to disappear forever",distress_selfharm
"sone ka mann nahi karta alone, bas akele rehne ka mann karta hai",distress_selfharm
bhai photo bhej de class notes ki bhai pe please,safe
"sone ka mann nahi karta game, bas akele rehne ka mann karta hai",distress_selfharm
Claim 10000 BGMI free click link for game,scam_phishing
how to bypass parental control pin on android secret,inappropriate_content
watch free 18+ adult movies HD online school,inappropriate_content
bhai photo bhej de class notes ki phone pe please,safe
"I feel so empty and tired of link, want to disappear forever",distress_selfharm
"kuch accha nahi lag raha school, har waqt rona aata hai",distress_selfharm
"I feel so empty and tired of pic, want to disappear forever",distress_selfharm
"tu kitna noob hai alone me, kill kar dunga tera character haha",safe
"hey cutie, send school of u, keep this a secret ok?",grooming
"terko kal school stop pe dekhenge, pitenge ruk tu group",cyberbullying
phone number bhej de tera whatsapp group me add karne ke liye,safe
watch free 18+ adult movies HD online number,inappropriate_content
Congratulations! You won free iPhone enter OTP for pic,scam_phishing
"I feel so empty and tired of photo, want to disappear forever",distress_selfharm
are u alone at home? camera on karke meet call karein?,grooming
"sabko pata hai tu cheat kar raha tha, koi tere photo me nahi khelega",cyberbullying
"hey cutie, send alone of u, keep this a secret ok?",grooming
"I feel so empty and tired of school, want to disappear forever",distress_selfharm
watch free 18+ adult movies HD online photo,inappropriate_content
"tu kitna noob hai meet, real life me loser hai, group se nikalo",cyberbullying
bhai discord pe alone call join kar le,safe
"sabko pata hai tu cheat kar raha tha, koi tere game me nahi khelega",cyberbullying
how to bypass parental control pin on android secret,inappropriate_content
"tu kitna noob hai bhai, real life me loser hai, group se nikalo",cyberbullying
"tu kitna noob hai meet, real life me loser hai, group se nikalo",cyberbullying
download leaked viral video link telegram insta,inappropriate_content
"hey cutie, send group of u, keep this a secret ok?",grooming
"kuch accha nahi lag raha meet, har waqt rona aata hai",distress_selfharm
"I feel so empty and tired of phone, want to disappear forever",distress_selfharm
bhai photo bhej de class notes ki insta pe please,safe
teri number photo sabko bhej ke mzaak udayenge class me,cyberbullying
Claim 10000 BGMI free click link for school,scam_phishing
download leaked viral video link telegram secret,inappropriate_content
"how old r u? u seem mature, send group privately dont tell mom",grooming
"terko kal school stop pe dekhenge, pitenge ruk tu group",safe
"kuch accha nahi lag raha link, har waqt rona aata hai",distress_selfharm
roblox me school match aaja server pe,safe
"sabko pata hai tu cheat kar raha tha, koi tere school me nahi khelega",cyberbullying
Claim 10000 BGMI free click link for number,scam_phishing
download leaked viral video link telegram bhai,inappropriate_content
Congratulations! You won free iPhone enter OTP for bhai,scam_phishing
"ur parents don't understand u, send me ur link fast",grooming
aaj test me pic ka paper hard tha lol,safe
"I feel so empty and tired of game, want to disappear forever",distress_selfharm
"sabko pata hai tu cheat kar raha tha, koi tere photo me nahi khelega",cyberbullying
Claim 10000 BGMI free click link for phone,scam_phishing
watch free 18+ adult movies HD online school,inappropriate_content
"tu kitna noob hai meet me, kill kar dunga tera character haha",safe
"tu kitna noob hai insta, real life me loser hai, group se nikalo",cyberbullying
Congratulations! You won free iPhone enter OTP for phone,scam_phishing
Claim 10000 BGMI free click link for group,scam_phishing
did u see the new secret on youtube?,safe
Congratulations! You won free iPhone enter OTP for number,scam_phishing
FREE ROBUX - enter parents credit card details for pic,scam_phishing
"ur parents don't understand u, send me ur secret fast",grooming
Congratulations! You won free iPhone enter OTP for school,scam_phishing
how to bypass parental control pin on android secret,inappropriate_content
"kuch accha nahi lag raha alone, har waqt rona aata hai",distress_selfharm
"how old r u? u seem mature, send alone privately dont tell mom",grooming
"how old r u? u seem mature, send pic privately dont tell mom",grooming
"hey cutie, send insta of u, keep this a secret ok?",grooming
"I feel so empty and tired of group, want to disappear forever",distress_selfharm
bhai insta bhej de homework ka fast,safe
did u see the new alone on youtube?,safe
"I feel so empty and tired of number, want to disappear forever",distress_selfharm
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
bhai photo bhej de class notes ki number pe please,safe
"meet me near park after bhai, don't tell ur parents",grooming
FREE ROBUX - enter parents credit card details for secret,scam_phishing
"how old r u? u seem mature, send meet privately dont tell mom",grooming
watch free 18+ adult movies HD online school,inappropriate_content
are u alone at home? camera on karke school call karein?,grooming
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
"terko kal school stop pe dekhenge, pitenge ruk tu link",cyberbullying
FREE ROBUX - enter parents credit card details for school,scam_phishing
FREE ROBUX - enter parents credit card details for phone,scam_phishing
"sone ka mann nahi karta phone, bas akele rehne ka mann karta hai",distress_selfharm
are u alone at home? camera on karke pic call karein?,grooming
"tu kitna noob hai insta, real life me loser hai, group se nikalo",cyberbullying
"hey cutie, send group of u, keep this a secret ok?",grooming
mummy bol rahi hai game time ho gaya so jao,safe
download leaked viral video link telegram secret,inappropriate_content
"sone ka mann nahi karta photo, bas akele rehne ka mann karta hai",distress_selfharm
"tu kitna noob hai photo, real life me loser hai, group se nikalo",cyberbullying
Claim 10000 BGMI free click link for game,scam_phishing
"tu kitna noob hai game me, kill kar dunga tera character haha",safe
are u alone at home? camera on karke pic call karein?,grooming
phone number bhej de tera whatsapp group me add karne ke liye,safe
"tu kitna noob hai phone, real life me loser hai, group se nikalo",safe
"I feel so empty and tired of insta, want to disappear forever",distress_selfharm
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
watch free 18+ adult movies HD online link,inappropriate_content
"ur parents don't understand u, send me ur alone fast",grooming
download leaked viral video link telegram game,inappropriate_content
"terko kal school stop pe dekhenge, pitenge ruk tu school",cyberbullying
roblox me alone match aaja server pe,safe
teri meet photo sabko bhej ke mzaak udayenge class me,cyberbullying
Congratulations! You won free iPhone enter OTP for meet,scam_phishing
"sabko pata hai tu cheat kar raha tha, koi tere pic me nahi khelega",cyberbullying
watch free 18+ adult movies HD online pic,inappropriate_content
aaj test me game ka paper hard tha lol,safe
"kuch accha nahi lag raha pic, har waqt rona aata hai",distress_selfharm
download leaked viral video link telegram school,inappropriate_content
"sone ka mann nahi karta number, bas akele rehne ka mann karta hai",distress_selfharm
download leaked viral video link telegram photo,inappropriate_content
bhai photo bhej de class notes ki school pe please,safe
"meet me near park after school, don't tell ur parents",grooming
"hey cutie, send pic of u, keep this a secret ok?",safe
teri alone photo sabko bhej ke mzaak udayenge class me,cyberbullying
watch free 18+ adult movies HD online bhai,inappropriate_content
how to bypass parental control pin on android pic,inappropriate_content
"sabko pata hai tu cheat kar raha tha, koi tere secret me nahi khelega",cyberbullying
"sone ka mann nahi karta number, bas akele rehne ka mann karta hai",distress_selfharm
bhai discord pe bhai call join kar le,safe
watch free 18+ adult movies HD online meet,inappropriate_content
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
"tu kitna noob hai alone, real life me loser hai, group se nikalo",cyberbullying
Congratulations! You won free iPhone enter OTP for number,scam_phishing
FREE ROBUX - enter parents credit card details for secret,scam_phishing
"sabko pata hai tu cheat kar raha tha, koi tere alone me nahi khelega",cyberbullying
kal school me phone share karenge,safe
"terko kal school stop pe dekhenge, pitenge ruk tu bhai",cyberbullying
Congratulations! You won free iPhone enter OTP for link,scam_phishing
bhai school bhej de homework ka fast,safe
FREE ROBUX - enter parents credit card details for photo,scam_phishing
"tu kitna noob hai photo, real life me loser hai, group se nikalo",cyberbullying
"I feel so empty and tired of phone, want to disappear forever",distress_selfharm
teri link photo sabko bhej ke mzaak udayenge class me,cyberbullying
"ur parents don't understand u, send me ur alone fast",grooming
Claim 10000 BGMI free click link for game,scam_phishing
watch free 18+ adult movies HD online insta,inappropriate_content
"kuch accha nahi lag raha alone, har waqt rona aata hai",distress_selfharm
Claim 10000 BGMI free click link for group,scam_phishing
"hey cutie, send phone of u, keep this a secret ok?",grooming
"tu kitna noob hai game, real life me loser hai, group se nikalo",cyberbullying
"I feel so empty and tired of insta, want to disappear forever",distress_selfharm
bhai photo bhej de class notes ki game pe please,safe
Claim 10000 BGMI free click link for photo,scam_phishing
watch free 18+ adult movies HD online insta,inappropriate_content
bhai insta bhej de homework ka fast,safe
"terko kal school stop pe dekhenge, pitenge ruk tu meet",cyberbullying
download leaked viral video link telegram alone,inappropriate_content
"kuch accha nahi lag raha secret, har waqt rona aata hai",distress_selfharm
kal school me bhai share karenge,cyberbullying
roblox me bhai match aaja server pe,safe
teri school photo sabko bhej ke mzaak udayenge class me,cyberbullying
"meet me near park after secret, don't tell ur parents",grooming
bhai photo bhej de class notes ki school pe please,safe
bhai photo bhej de class notes ki phone pe please,safe
"I feel so empty and tired of insta, want to disappear forever",distress_selfharm
"sone ka mann nahi karta alone, bas akele rehne ka mann karta hai",distress_selfharm
"tu kitna noob hai game, real life me loser hai, group se nikalo",cyberbullying
are u alone at home? camera on karke pic call karein?,grooming
Congratulations! You won free iPhone enter OTP for game,scam_phishing
FREE ROBUX - enter parents credit card details for secret,scam_phishing
"I feel so empty and tired of photo, want to disappear forever",distress_selfharm
"tu kitna noob hai number, real life me loser hai, group se nikalo",cyberbullying
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
"I feel so empty and tired of bhai, want to disappear forever",distress_selfharm
"hey cutie, send number of u, keep this a secret ok?",grooming
roblox me group match aaja server pe,safe
"kuch accha nahi lag raha insta, har waqt rona aata hai",distress_selfharm
download leaked viral video link telegram pic,inappropriate_content
"meet me near park after photo, don't tell ur parents",grooming
watch free 18+ adult movies HD online photo,inappropriate_content
teri photo photo sabko bhej ke mzaak udayenge class me,cyberbullying
"I feel so empty and tired of group, want to disappear forever",distress_selfharm
"sabko pata hai tu cheat kar raha tha, koi tere link me nahi khelega",cyberbullying
Claim 10000 BGMI free click link for meet,scam_phishing
"sone ka mann nahi karta alone, bas akele rehne ka mann karta hai",distress_selfharm
Claim 10000 BGMI free click link for photo,scam_phishing
